id,full_name,first_name,last_name,weight,height_inches,college,draft_year,position,position_group,section,forty,vertical,bench,broad,threecone,shuttle
3728253.0,Austin Bryant,Austin,Bryant,271,76,Clemson,2019,DE,DL,D,,,,,,
3919117.0,Azeez Al-Shaair,Azeez,Al-Shaair,234,73,Florida Atlantic,2019,OLB,LB,D,,,16.0,,,
3121537.0,Beau Benzschawel,Beau,Benzschawel,309,78,Wisconsin,2019,OT,OL,O,5.24,,20.0,,,
3124970.0,Ben Banogu,Ben,Banogu,250,75,TCU,2019,DE,DL,D,4.62,40.0,23.0,134.0,7.02,4.27
3886816.0,Ben Burr-Kirven,Ben,Burr-Kirven,230,72,Washington,2019,OLB,LB,D,4.56,34.5,21.0,121.0,6.85,4.09
4037650.0,Ben Powers,Ben,Powers,307,76,Oklahoma,2019,OT,OL,O,,,21.0,,,
,Benny Snell,Benny,Snell,224,70,Kentucky,2019,RB,RB,O,4.66,29.5,16.0,119.0,7.07,4.33
3917067.0,Bisi Johnson,Bisi,Johnson,204,72,Colorado State,2019,WR,WR,O,4.51,38.0,14.0,124.0,6.88,4.16
3128652.0,Blace Brown,Blace,Brown,194,72,Troy,2019,CB,DB,D,4.75,,14.0,126.0,7.33,4.22
3728281.0,Blake Cashman,Blake,Cashman,237,73,Minnesota,2019,OLB,LB,D,4.5,37.5,18.0,124.0,6.95,4.12
3930021.0,Blessuan Austin,Blessuan,Austin,198,73,Rutgers,2019,CB,DB,D,,,15.0,,,
3706968.0,Bobby Evans,Bobby,Evans,312,76,Oklahoma,2019,OT,OL,O,5.2,,22.0,,,
3117253.0,Bobby Okereke,Bobby,Okereke,239,73,Stanford,2019,OLB,LB,D,4.58,33.5,,122.0,7.25,4.26
3929795.0,Brandon Knight,Brandon,Knight,314,76,Indiana,2019,OT,OL,O,,,,,,
3722362.0,Brett Rypien,Brett,Rypien,210,74,Boise State,2019,QB,QB,O,4.91,33.0,,116.0,7.1,4.29
4035631.0,Brian Burns,Brian,Burns,249,77,Florida State,2019,DE,DL,D,4.53,36.0,,129.0,7.01,
3931398.0,Bryce Love,Bryce,Love,200,69,Stanford,2019,RB,RB,O,,,18.0,,,
3126478.0,Bryson Allen-Williams,Bryson,Allen-Williams,236,73,South Carolina,2019,OLB,LB,D,4.88,,14.0,,7.4,
,Byron Cowart,Byron,Cowart,298,75,Maryland,2019,DL,DL,D,5.16,30.0,26.0,111.0,,
4038999.0,Byron Murphy,Byron,Murphy,190,71,Washington,2019,CB,DB,D,4.55,36.5,14.0,120.0,,
3915230.0,C.J. Conrad,C.J.,Conrad,249,76,Kentucky,2019,TE,TE,O,,,,,,
4035838.0,Caleb Wilson,Caleb,Wilson,240,76,UCLA,2019,TE,TE,O,4.56,29.0,,113.0,7.2,4.4
3932936.0,Caleb Wilson,Caleb,Wilson,240,76,UCLA,2019,TE,TE,O,4.56,29.0,,113.0,7.2,4.4
3701669.0,Cameron Smith,Cameron,Smith,238,74,USC,2019,OLB,LB,D,4.69,39.0,15.0,123.0,,4.23
3918310.0,Carl Granderson,Carl,Granderson,254,77,Wyoming,2019,DE,DL,D,4.79,35.0,,119.0,7.44,4.41
3915105.0,Cece Jefferson,Cece,Jefferson,266,73,Florida,2019,DE,DL,D,5.02,30.5,17.0,108.0,7.5,4.53
3929865.0,Charles Omenihu,Charles,Omenihu,280,77,Texas,2019,DL,DL,D,4.92,36.5,,115.0,7.48,4.36
531024.0,Chase Hansen,Chase,Hansen,222,75,Utah,2019,OLB,LB,D,,,,,,
3115974.0,Chase Winovich,Chase,Winovich,256,75,Michigan,2019,DE,DL,D,4.59,30.5,18.0,116.0,6.94,4.11
4034953.0,Chauncey Gardner-Johnson,Chauncey,Gardner-Johnson,210,71,Florida,2019,S,DB,D,4.48,36.0,17.0,117.0,7.03,4.2
4239950.0,Chris Lindstrom,Chris,Lindstrom,308,76,Boston College,2019,OT,OL,O,4.91,30.5,25.0,117.0,7.61,4.54
3672833.0,Chris Lindstrom,Chris,Lindstrom,308,76,Boston College,2019,OT,OL,O,4.91,30.5,25.0,117.0,7.61,4.54
3124015.0,Chris Slayton,Chris,Slayton,307,76,Syracuse,2019,DL,DL,D,5.13,29.0,28.0,101.0,,4.73
,Christian Miller,Christian,Miller,247,75,Alabama,2019,DE,DL,D,,38.5,,118.0,,
3728266.0,Christian Wilkins,Christian,Wilkins,315,75,Clemson,2019,DL,DL,D,5.04,29.5,28.0,107.0,,4.55
3116144.0,Clayton Thorson,Clayton,Thorson,222,76,Northwestern,2019,QB,QB,O,,,,,,
3728258.0,Clelin Ferrell,Clelin,Ferrell,264,76,Clemson,2019,DE,DL,D,,,25.0,,7.26,4.4
3926229.0,Cody Barton,Cody,Barton,237,74,Utah,2019,OLB,LB,D,4.64,32.5,30.0,116.0,6.9,4.03
3126115.0,Cody Thompson,Cody,Thompson,205,73,Toledo,2019,WR,WR,O,4.57,38.5,19.0,119.0,6.87,4.03
4033748.0,Connor McGovern,Connor,McGovern,308,77,Penn State,2019,OT,OL,O,,,28.0,112.0,7.66,4.57
4047650.0,D.K. Metcalf,D.K.,Metcalf,228,75,Ole Miss,2019,WR,WR,O,4.33,40.5,27.0,134.0,7.38,4.5
,D'Andre Walker,D'Andre,Walker,251,74,Georgia,2019,DE,DL,D,,,,,,
3121542.0,D'Cota Dixon,D'Cota,Dixon,204,70,Wisconsin,2019,S,DB,D,4.81,33.5,20.0,119.0,,
3139453.0,Dakota Allen,Dakota,Allen,232,73,Texas Tech,2019,OLB,LB,D,4.77,31.5,23.0,116.0,6.88,4.04
3125082.0,Dalton Risner,Dalton,Risner,312,77,Kansas State,2019,OT,OL,O,5.3,28.5,23.0,110.0,7.69,4.52
3930064.0,Damarkus Lodge,Damarkus,Lodge,202,74,Ole Miss,2019,WR,WR,O,4.55,33.5,11.0,119.0,7.06,4.53
4241457.0,Damien Harris,Damien,Harris,216,70,Alabama,2019,RB,RB,O,4.57,37.0,16.0,121.0,,
3925347.0,Damien Harris,Damien,Harris,216,70,Alabama,2019,RB,RB,O,4.57,37.0,16.0,121.0,,
3929801.0,Dan Godsil,Dan,Godsil,241,76,Indiana,2019,LS,LS,ST,5.0,34.5,16.0,118.0,7.56,4.55
,Daniel Helm,Daniel,Helm,249,76,Duke,2019,TE,TE,O,4.89,,14.0,,,
3917792.0,Daniel Jones,Daniel,Jones,221,77,Duke,2019,QB,QB,O,4.81,33.5,,120.0,7.0,4.41
3133368.0,Daniel Wise,Daniel,Wise,281,75,Kansas,2019,DL,DL,D,5.28,27.5,22.0,112.0,7.53,4.37
3916945.0,Darius Slayton,Darius,Slayton,190,73,Auburn,2019,WR,WR,O,4.39,40.5,11.0,135.0,7.0,4.15
3126322.0,Darius West,Darius,West,208,71,Kentucky,2019,S,DB,D,4.39,33.5,19.0,113.0,,
,Darnell Savage,Darnell,Savage,198,71,Maryland,2019,S,DB,D,4.36,39.5,11.0,126.0,7.03,4.14
4039359.0,Darrell Henderson,Darrell,Henderson,208,68,Memphis,2019,RB,RB,O,4.49,33.5,22.0,121.0,,
3916151.0,Darrell Henderson,Darrell,Henderson,208,68,Memphis,2019,RB,RB,O,4.49,33.5,22.0,121.0,,
3957672.0,Darryl Johnson,Darryl,Johnson,253,78,North Carolina A&T,2019,DE,DL,D,,,20.0,,,
3929849.0,Davante Davis,Davante,Davis,202,74,Texas,2019,CB,DB,D,4.57,37.0,14.0,125.0,6.76,4.15
547322.0,Davante Davis,Davante,Davis,202,74,Texas,2019,CB,DB,D,4.57,37.0,14.0,125.0,6.76,4.15
3917660.0,David Edwards,David,Edwards,308,78,Wisconsin,2019,OT,OL,O,5.28,25.5,,99.0,7.69,4.77
,David Long,David,Long,227,71,West Virginia,2019,OLB,LB,D,4.45,39.5,15.0,120.0,,
4046536.0,David Long,David,Long,196,71,Michigan,2019,CB,DB,D,4.45,39.5,15.0,120.0,6.45,3.97
4035538.0,David Montgomery,David,Montgomery,222,70,Iowa State,2019,RB,RB,O,4.63,28.5,15.0,121.0,,
,David Sills,David,Sills,211,75,West Virginia,2019,WR,WR,O,4.57,37.5,14.0,117.0,6.97,4.28
3930086.0,Dawson Knox,Dawson,Knox,254,76,Ole Miss,2019,TE,TE,O,,34.5,16.0,,7.12,4.27
3932963.0,Dax Raymond,Dax,Raymond,255,77,Utah State,2019,TE,TE,O,4.73,32.0,15.0,109.0,7.15,4.39
3917316.0,Daylon Mack,Daylon,Mack,336,73,Texas A&M,2019,DL,DL,D,5.1,27.0,30.0,102.0,8.02,4.95
3915163.0,Deandre Baker,Deandre,Baker,193,71,Georgia,2019,CB,DB,D,4.52,,14.0,118.0,,
3126486.0,Deebo Samuel,Deebo,Samuel,214,71,South Carolina,2019,WR,WR,O,4.48,39.0,15.0,122.0,7.03,4.14
559661.0,Deion Calhoun,Deion,Calhoun,310,74,Mississippi State,2019,OT,OL,O,5.07,28.5,26.0,105.0,7.46,4.62
3859100.0,Deionte Thompson,Deionte,Thompson,195,73,Alabama,2019,S,DB,D,,,,,,
3122915.0,Demarcus Christmas,Demarcus,Christmas,294,75,Florida State,2019,DL,DL,D,5.08,25.5,22.0,101.0,8.13,5.07
,Derrek Thomas,Derrek,Thomas,189,75,Baylor,2019,CB,DB,D,4.44,39.5,8.0,131.0,,
,Derrick Baity,Derrick,Baity,197,74,Kentucky,2019,CB,DB,D,,38.5,10.0,127.0,7.06,4.31
3115949.0,Derwin Gray,Derwin,Gray,320,76,Maryland,2019,OT,OL,O,5.26,,26.0,90.0,,
3121578.0,Deshaun Davis,Deshaun,Davis,234,71,Auburn,2019,OLB,LB,D,,31.0,25.0,111.0,,4.38
4036261.0,Devin Bush,Devin,Bush,234,71,Michigan,2019,OLB,LB,D,4.43,40.5,21.0,124.0,6.93,4.23
4040761.0,Devin Singletary,Devin,Singletary,203,67,Florida Atlantic,2019,RB,RB,O,4.66,35.0,15.0,117.0,7.32,4.4
4035434.0,Devin White,Devin,White,237,72,LSU,2019,OLB,LB,D,4.42,39.5,22.0,118.0,7.07,4.17
,Devon Johnson,Devon,Johnson,338,79,Ferris St.,2019,OT,OL,O,5.16,27.5,26.0,89.0,8.34,5.28
4035483.0,Dexter Lawrence,Dexter,Lawrence,342,76,Clemson,2019,DL,DL,D,5.05,,36.0,,,
3932449.0,Dexter Williams,Dexter,Williams,212,71,Notre Dame,2019,RB,RB,O,4.57,36.0,17.0,130.0,7.0,4.16
4038938.0,Dillon Mitchell,Dillon,Mitchell,197,73,Oregon,2019,WR,WR,O,4.46,36.5,12.0,122.0,,4.29
3932905.0,Diontae Johnson,Diontae,Johnson,183,70,Toledo,2019,WR,WR,O,4.53,33.5,15.0,123.0,7.09,4.45
3126095.0,Diontae Johnson,Diontae,Johnson,183,70,Toledo,2019,WR,WR,O,4.53,33.5,15.0,123.0,7.09,4.45
4034773.0,Donnell Greene,Donnell,Greene,335,77,Minnesota,2019,OT,OL,O,,,,,,
3122135.0,Donovan Wilson,Donovan,Wilson,199,72,Texas A&M,2019,S,DB,D,,36.0,18.0,127.0,,
3121587.0,Dontavius Russell,Dontavius,Russell,319,75,Auburn,2019,DL,DL,D,5.15,,24.0,,7.81,4.77
3916903.0,Dre Greenlaw,Dre,Greenlaw,237,71,Arkansas,2019,OLB,LB,D,,33.0,24.0,117.0,,
3915525.0,Dre'Mont Jones,Dre'Mont,Jones,281,75,Ohio State,2019,DL,DL,D,5.12,31.5,,110.0,7.71,4.53
3924327.0,Drew Lock,Drew,Lock,228,76,Missouri,2019,QB,QB,O,4.69,31.0,,112.0,7.03,4.12
3127310.0,Drew Sample,Drew,Sample,255,77,Washington,2019,TE,TE,O,4.71,33.5,,115.0,7.15,4.31
,Dru Samia,Dru,Samia,305,77,Oklahoma,2019,OT,OL,O,5.29,27.5,28.0,101.0,7.89,4.7
3129310.0,Drue Tranquill,Drue,Tranquill,234,74,Notre Dame,2019,OLB,LB,D,4.57,37.5,31.0,122.0,6.94,4.14
4040616.0,Dwayne Haskins,Dwayne,Haskins,231,75,Ohio State,2019,QB,QB,O,5.04,28.5,,,,
4039303.0,Ed Oliver,Ed,Oliver,287,74,Houston,2019,DL,DL,D,,36.0,32.0,120.0,,
559664.0,Elgton Jenkins,Elgton,Jenkins,310,76,Mississippi State,2019,OT,OL,O,,28.0,29.0,109.0,7.77,4.62
4035006.0,Elijah Holyfield,Elijah,Holyfield,217,70,Georgia,2019,RB,RB,O,4.78,29.5,26.0,118.0,,
3924318.0,Emanuel Hall,Emanuel,Hall,201,74,Missouri,2019,WR,WR,O,4.39,43.5,15.0,141.0,,
3914613.0,Emeke Egbule,Emeke,Egbule,245,74,Houston,2019,OLB,LB,D,4.65,33.0,20.0,119.0,7.38,4.38
3119471.0,Emmanuel Butler,Emmanuel,Butler,217,75,Northern Arizona,2019,WR,WR,O,,36.0,11.0,115.0,,4.22
4243161.0,Evan Worthington,Evan,Worthington,212,74,Colorado,2019,S,DB,D,4.63,33.5,17.0,121.0,7.07,4.37
,Felton Davis,Felton,Davis,211,75,Michigan State,2019,WR,WR,O,,,21.0,,,
3843945.0,Foster Moreau,Foster,Moreau,253,76,LSU,2019,TE,TE,O,4.66,36.5,22.0,121.0,7.16,4.11
,Gardner Minshew,Gardner,Minshew,225,73,Washington State,2019,QB,QB,O,4.97,33.5,,116.0,7.14,4.45
,Garrett Bradbury,Garrett,Bradbury,306,75,North Carolina St.,2019,OT,OL,O,4.92,31.0,34.0,104.0,7.41,4.53
3916071.0,Gary Jennings,Gary,Jennings,214,73,West Virginia,2019,WR,WR,O,4.42,37.0,20.0,127.0,7.32,4.15
4569383.0,Gary Johnson,Gary,Johnson,226,72,Texas,2019,OLB,LB,D,4.43,33.5,16.0,121.0,7.15,4.57
4259349.0,Gary Johnson,Gary,Johnson,226,72,Texas,2019,OLB,LB,D,4.43,33.5,16.0,121.0,7.15,4.57
,Gerald Willis,Gerald,Willis,302,74,Miami,2019,DL,DL,D,,,,,,
,Germaine Pratt,Germaine,Pratt,240,74,North Carolina St.,2019,OLB,LB,D,4.57,32.5,24.0,116.0,,
559648.0,Gerri Green,Gerri,Green,252,76,Mississippi State,2019,DE,DL,D,4.63,35.0,24.0,114.0,7.27,4.42
4035437.0,Greedy Williams,Greedy,Williams,185,74,LSU,2019,CB,DB,D,4.37,,,,,
4037235.0,Greg Dortch,Greg,Dortch,173,67,Wake Forest,2019,WR,WR,O,,,,,,
3127294.0,Greg Gaines,Greg,Gaines,312,73,Washington,2019,DL,DL,D,5.16,31.0,30.0,109.0,,
3917940.0,Hakeem Butler,Hakeem,Butler,227,77,Iowa State,2019,WR,WR,O,4.48,36.0,18.0,128.0,,
4035339.0,Hamp Cheevers,Hamp,Cheevers,169,69,Boston College,2019,CB,DB,D,4.52,39.0,8.0,122.0,6.96,4.25
3886633.0,Hjalte Froholdt,Hjalte,Froholdt,306,77,Arkansas,2019,OT,OL,O,5.2,27.5,31.0,105.0,7.51,4.54
3135321.0,Hunter Renfrow,Hunter,Renfrow,184,70,Clemson,2019,WR,WR,O,4.59,35.0,7.0,116.0,6.8,4.19
,Iman Lewis-Marshall,Iman,Lewis-Marshall,207,73,USC,2019,CB,DB,D,4.53,,16.0,,,
,Irv Smith,Irv,Smith,242,74,Alabama,2019,TE,TE,O,4.63,32.5,19.0,110.0,7.32,4.33
4035014.0,Isaac Nauta,Isaac,Nauta,244,75,Georgia,2019,TE,TE,O,4.91,28.0,19.0,,7.45,4.43
4241451.0,Isaiah Buggs,Isaiah,Buggs,306,75,Alabama,2019,DL,DL,D,5.15,24.5,20.0,96.0,8.01,4.83
3126182.0,Isaiah Johnson,Isaiah,Johnson,208,74,Houston,2019,CB,DB,D,4.4,36.5,,133.0,6.81,4.06
3915532.0,Isaiah Prince,Isaiah,Prince,305,78,Ohio State,2019,OT,OL,O,5.09,27.0,23.0,115.0,7.9,5.02
3931397.0,J.J. Arcega-Whiteside,J.J.,Arcega-Whiteside,225,74,Stanford,2019,WR,WR,O,,,,,,
,Jace Sternberger,Jace,Sternberger,251,76,Texas A&M,2019,TE,TE,O,4.75,31.5,17.0,113.0,7.19,4.31
4034967.0,Jachai Polite,Jachai,Polite,258,75,Florida,2019,DE,DL,D,4.84,32.0,,,,
3122865.0,Jackson Barton,Jackson,Barton,310,79,Utah,2019,OT,OL,O,5.18,27.0,25.0,109.0,7.85,4.66
3124587.0,Jahlani Tavai,Jahlani,Tavai,250,74,Hawaii,2019,OLB,LB,D,,,,,,
3886812.0,Jake Browning,Jake,Browning,211,74,Washington,2019,QB,QB,O,4.74,29.0,,112.0,7.19,4.44
,Jakobi Meyers,Jakobi,Meyers,203,74,North Carolina St.,2019,WR,WR,O,4.63,37.0,13.0,118.0,7.07,4.23
,Jalen Hurd,Jalen,Hurd,226,77,Baylor,2019,WR,WR,O,,,23.0,,,
3122692.0,Jalen Jelks,Jalen,Jelks,256,77,Oregon,2019,DE,DL,D,4.92,32.5,19.0,113.0,7.22,4.59
3123675.0,Jalin Moore,Jalin,Moore,212,70,Appalachian State,2019,RB,RB,O,,,27.0,,,
3124013.0,Jamal Custis,Jamal,Custis,214,76,Syracuse,2019,WR,WR,O,4.5,34.5,,124.0,,
,Jamal Davis,Jamal,Davis,243,75,Akron,2019,DE,DL,D,4.6,39.0,19.0,122.0,7.0,4.44
4568067.0,Jamal Peters,Jamal,Peters,218,74,Mississippi State,2019,CB,DB,D,4.63,,,,,
3917279.0,Jamal Peters,Jamal,Peters,218,74,Mississippi State,2019,CB,DB,D,4.63,,,,,
4261077.0,Jamarius Way,Jamarius,Way,215,75,South Alabama,2019,WR,WR,O,4.63,32.5,16.0,119.0,,4.66
3873935.0,Jamel Dean,Jamel,Dean,206,73,Auburn,2019,CB,DB,D,4.3,41.0,16.0,130.0,7.02,4.19
3884368.0,James Williams,James,Williams,197,69,Washington State,2019,RB,RB,O,4.58,36.5,,118.0,7.01,4.25
3672862.0,Jaquan Johnson,Jaquan,Johnson,191,70,Miami,2019,S,DB,D,4.69,33.0,18.0,121.0,,
,Jarrett Stidham,Jarrett,Stidham,218,74,Auburn,2019,QB,QB,O,4.81,31.0,,110.0,7.28,4.33
4034961.0,Jawaan Taylor,Jawaan,Taylor,312,77,Florida,2019,OT,OL,O,,,24.0,,,
3916418.0,Jaylen Smith,Jaylen,Smith,219,74,Louisville,2019,WR,WR,O,4.47,34.5,14.0,122.0,7.55,4.48
,Jazz Ferguson,Jazz,Ferguson,227,77,Northwestern St. (LA),2019,WR,WR,O,4.45,37.0,8.0,123.0,7.25,4.59
4040893.0,Jeff Allison,Jeff,Allison,228,71,Fresno State,2019,OLB,LB,D,4.82,31.0,12.0,115.0,7.2,4.45
3863182.0,Jerry Tillery,Jerry,Tillery,295,78,Notre Dame,2019,DL,DL,D,4.93,32.0,23.0,115.0,7.45,4.33
3917797.0,Joe Giles-Harris,Joe,Giles-Harris,234,74,Duke,2019,OLB,LB,D,4.75,29.5,17.0,111.0,,
4037459.0,Joe Jackson,Joe,Jackson,275,76,Miami,2019,DL,DL,D,,27.0,22.0,109.0,,
3123059.0,Joe Jackson,Joe,Jackson,275,76,Miami,2019,DL,DL,D,,27.0,22.0,109.0,,
4035286.0,Joejuan Williams,Joejuan,Williams,211,76,Vanderbilt,2019,CB,DB,D,4.64,,17.0,,,
559590.0,John Battle,John,Battle,201,72,LSU,2019,S,DB,D,4.67,29.5,,120.0,7.09,4.33
3728305.0,Johnathan Abram,Johnathan,Abram,205,71,Mississippi State,2019,S,DB,D,4.45,,,116.0,,
3121413.0,Johnnie Dixon,Johnnie,Dixon,201,70,Ohio State,2019,WR,WR,O,4.41,37.5,16.0,120.0,,4.43
3929780.0,Jonathan Crawford,Jonathan,Crawford,205,73,Indiana,2019,S,DB,D,,31.5,16.0,115.0,,
3728308.0,Jonathan Ledbetter,Jonathan,Ledbetter,280,76,Georgia,2019,DL,DL,D,5.14,26.5,22.0,108.0,,
3122420.0,Jordan Brailford,Jordan,Brailford,252,75,Oklahoma State,2019,DE,DL,D,4.65,37.5,22.0,126.0,,
3121034.0,Jordan Brown,Jordan,Brown,201,72,South Dakota State,2019,CB,DB,D,4.51,39.5,13.0,128.0,,
3915235.0,Jordan Jones,Jordan,Jones,234,74,Kentucky,2019,OLB,LB,D,4.62,32.5,23.0,123.0,,4.37
3886824.0,Jordan Miller,Jordan,Miller,186,73,Washington,2019,CB,DB,D,4.49,37.0,6.0,125.0,,
3915115.0,Jordan Scarlett,Jordan,Scarlett,208,71,Florida,2019,RB,RB,O,4.47,30.0,21.0,116.0,7.37,4.63
4242418.0,Jordan Ta'amu,Jordan,Ta'amu,221,75,Ole Miss,2019,QB,QB,O,4.77,27.5,,109.0,7.06,4.36
,Josh Allen,Josh,Allen,262,77,Kentucky,2019,DE,DL,D,4.63,,28.0,118.0,7.15,4.23
4047365.0,Josh Jacobs,Josh,Jacobs,220,70,Alabama,2019,RB,RB,O,,,,,,
3921690.0,Josh Oliver,Josh,Oliver,249,77,San Jose State,2019,TE,TE,O,4.63,34.0,22.0,117.0,7.21,4.47
,Jovon Durante,Jovon,Durante,160,71,Florida Atlantic,2019,WR,WR,O,4.55,31.5,,120.0,7.0,4.31
3917909.0,Juan Thornhill,Juan,Thornhill,205,72,Virginia,2019,S,DB,D,4.42,44.0,21.0,141.0,,
4570061.0,Julian Love,Julian,Love,195,71,Notre Dame,2019,CB,DB,D,4.54,36.0,14.0,121.0,6.72,4.1
4046675.0,Julian Love,Julian,Love,195,71,Notre Dame,2019,CB,DB,D,4.54,36.0,14.0,121.0,6.72,4.1
4038441.0,Justice Hill,Justice,Hill,198,70,Oklahoma State,2019,RB,RB,O,4.4,40.0,21.0,130.0,,
,Justin Hollins,Justin,Hollins,248,77,Oregon,2019,DE,DL,D,4.5,36.5,25.0,119.0,7.06,4.4
4046719.0,Justin Layne,Justin,Layne,192,74,Michigan State,2019,CB,DB,D,4.5,37.5,,134.0,6.9,4.09
4044452.0,Kaden Smith,Kaden,Smith,255,77,Stanford,2019,TE,TE,O,4.92,32.0,15.0,108.0,7.08,4.47
3933327.0,Kahale Warring,Kahale,Warring,252,77,San Diego State,2019,TE,TE,O,4.67,36.5,19.0,122.0,7.21,4.25
3127304.0,Kaleb McGary,Kaleb,McGary,317,79,Washington,2019,OT,OL,O,5.05,33.5,23.0,111.0,7.66,4.58
3929927.0,Karan Higdon,Karan,Higdon,206,69,Michigan,2019,RB,RB,O,4.49,34.0,21.0,123.0,,
3120980.0,Keelan Doss,Keelan,Doss,211,74,UC Davis,2019,WR,WR,O,,,8.0,,,
,Keenen Brown,Keenen,Brown,250,74,Texas State,2019,TE,TE,O,4.75,33.0,17.0,117.0,7.27,4.51
3124537.0,Keesean Johnson,Keesean,Johnson,201,73,Fresno State,2019,WR,WR,O,4.6,30.0,14.0,117.0,7.28,4.23
,Kelvin Harmon,Kelvin,Harmon,221,74,North Carolina St.,2019,WR,WR,O,4.6,32.5,18.0,117.0,7.15,4.32
3128743.0,Ken Webster,Ken,Webster,203,71,Ole Miss,2019,CB,DB,D,4.43,43.0,18.0,133.0,6.85,4.14
3122103.0,Kendall Blanton,Kendall,Blanton,262,78,Missouri,2019,TE,TE,O,4.95,31.0,22.0,113.0,7.37,4.42
3122843.0,Kendall Joseph,Kendall,Joseph,233,72,Clemson,2019,OLB,LB,D,,,25.0,,,
3925358.0,Kendall Sheffield,Kendall,Sheffield,193,71,Ohio State,2019,CB,DB,D,,,,,,
3929641.0,Kevin Givens,Kevin,Givens,285,73,Penn State,2019,DL,DL,D,5.08,31.0,32.0,115.0,7.63,4.62
3929835.0,Khari Willis,Khari,Willis,213,71,Michigan State,2019,S,DB,D,4.52,34.5,22.0,118.0,,
3917340.0,Kingsley Keke,Kingsley,Keke,288,75,Texas A&M,2019,DL,DL,D,4.95,31.5,,111.0,7.55,4.46
3929845.0,Kris Boyd,Kris,Boyd,201,71,Texas,2019,CB,DB,D,4.45,36.5,19.0,127.0,6.94,4.08
3915776.0,Kyle Shurmur,Kyle,Shurmur,230,76,Vanderbilt,2019,QB,QB,O,4.91,29.5,,106.0,7.51,4.53
,Kyler Murray,Kyler,Murray,207,70,Oklahoma,2019,QB,QB,O,,,,,,
3116449.0,L.J. Collier,L.J.,Collier,283,74,TCU,2019,DL,DL,D,4.91,30.0,25.0,118.0,7.71,4.78
3128707.0,Lamont Gaillard,Lamont,Gaillard,305,75,Georgia,2019,OT,OL,O,,,,,,
4039057.0,Lil'Jordan Humphrey,Lil'Jordan,Humphrey,210,76,Texas,2019,WR,WR,O,4.75,33.5,13.0,119.0,7.09,4.29
3929828.0,Lj Scott,Lj,Scott,227,72,Michigan State,2019,RB,RB,O,,33.0,21.0,120.0,7.27,4.34
4035055.0,Lonnie Johnson,Lonnie,Johnson,213,74,Kentucky,2019,CB,DB,D,4.52,38.0,15.0,129.0,7.01,4.1
3915291.0,Lukas Denis,Lukas,Denis,190,71,Boston College,2019,S,DB,D,4.64,33.5,16.0,116.0,6.89,4.09
4040983.0,Mack Wilson,Mack,Wilson,240,73,Alabama,2019,OLB,LB,D,,32.0,,117.0,,
3116693.0,Malik Carney,Malik,Carney,251,74,North Carolina,2019,DE,DL,D,4.73,33.0,25.0,113.0,7.4,
3931774.0,Malik Gant,Malik,Gant,209,72,Marshall,2019,S,DB,D,4.63,34.5,17.0,114.0,7.45,4.3
